Название,Специальность
ИКБО-84-22,Аналитика данных в бизнесе и финансах
ИЛБО-09-20,Электронная коммерция и цифровой маркетинг
ИЭБО-96-21,Блокчейн и криптовалюты: технологии и применения
ИЭБО-10-21,Разработка приложений для здравоохранения и медицины
ИВБО-92-21,Графический дизайн и мультимедиа
ИМБО-87-20,Программирование и разработка на языке Java
ИЭБО-54-23,Графический дизайн и мультимедиа
ИНБО-89-21,Блокчейн и криптовалюты: технологии и применения
ИЛБО-02-23,Разработка игр и виртуальной реальности
ИЛБО-01-22,Цифровая трансформация и стратегии бизнеса
ИЭБО-23-21,Анализ больших данных и облачные вычисления
ИЛБО-64-20,Сетевые технологии и администрирование сетей
ИМБО-81-20,Интернет вещей (IoT) и умные технологии
ИМБО-85-21,Электронная коммерция и цифровой маркетинг
ИЭБО-72-23,Графический дизайн и мультимедиа
ИКБО-14-23,Блокчейн и криптовалюты: технологии и применения
ИМБО-50-23,Разработка приложений для здравоохранения и медицины
ИЛБО-37-22,Цифровая трансформация и стратегии бизнеса
ИЭБО-99-20,Разработка приложений для здравоохранения и медицины
ИЛБО-06-20,Сетевые технологии и администрирование сетей
ИНБО-60-22,Разработка мобильных приложений и IoT
ИНБО-56-22,Графический дизайн и мультимедиа
ИНБО-58-23,Аналитика данных в бизнесе и финансах
ИНБО-79-21,Безопасность информационных систем и киберзащита
ИЛБО-21-20,Разработка игр и виртуальной реальности
ИНБО-47-23,Программирование и разработка на языке Java
ИЛБО-64-21,Анализ больших данных и облачные вычисления
ИВБО-87-22,Графический дизайн и мультимедиа
ИКБО-94-21,Информационные технологии и разработка программного обеспечения
ИКБО-90-22,Разработка мобильных приложений и IoT
ИНБО-66-21,Информационные технологии и разработка программного обеспечения
ИЭБО-78-20,Графический дизайн и мультимедиа
ИВБО-50-22,Разработка игр и виртуальной реальности
ИВБО-02-22,Блокчейн и криптовалюты: технологии и применения
ИМБО-14-23,Анализ данных и машинное обучение
ИНБО-91-22,Аналитика данных в бизнесе и финансах
ИЭБО-08-21,Веб-разработка и интерфейсный дизайн
ИЛБО-32-21,Электронная коммерция и цифровой маркетинг
ИКБО-54-20,Безопасность информационных систем и киберзащита
ИВБО-22-22,Автоматизация тестирования и DevOps
ИЭБО-14-20,Аналитика данных в бизнесе и финансах
ИЭБО-63-22,Разработка робототехнических систем и искусственный интеллект
ИВБО-72-21,Автоматизация тестирования и DevOps
ИНБО-81-20,Программирование и разработка на языке Java
ИВБО-65-20,Разработка робототехнических систем и искусственный интеллект
ИВБО-13-21,Сетевые технологии и администрирование сетей
ИЛБО-74-22,Аналитика данных в бизнесе и финансах
ИМБО-70-21,Разработка приложений для здравоохранения и медицины
ИЭБО-52-23,Графический дизайн и мультимедиа
ИМБО-77-23,Блокчейн и криптовалюты: технологии и применения
ИЛБО-74-23,Разработка игр и виртуальной реальности
ИЭБО-22-23,Цифровая трансформация и стратегии бизнеса
ИМБО-20-23,Разработка робототехнических систем и искусственный интеллект
ИМБО-66-23,Аналитика данных в бизнесе и финансах
ИНБО-30-21,Сетевые технологии и администрирование сетей
ИЛБО-14-22,Автоматизация тестирования и DevOps
ИЛБО-10-23,Информационные технологии и разработка программного обеспечения
ИМБО-67-21,Блокчейн и криптовалюты: технологии и применения
ИЛБО-34-22,Разработка мобильных приложений и IoT
ИНБО-80-21,Разработка мобильных приложений и IoT
ИЭБО-64-21,Разработка мобильных приложений и IoT
ИЛБО-70-23,Электронная коммерция и цифровой маркетинг
ИНБО-12-22,Киберфизические системы и автоматизация процессов
ИВБО-07-21,Электронная коммерция и цифровой маркетинг
ИЛБО-09-23,Автоматизация тестирования и DevOps
ИКБО-57-21,Разработка мобильных приложений и IoT
ИМБО-33-23,Разработка мобильных приложений и IoT
ИМБО-19-21,Веб-разработка и интерфейсный дизайн
ИЛБО-85-21,Анализ данных и машинное обучение
ИЭБО-87-21,Информационные технологии и разработка программного обеспечения
ИКБО-91-20,Разработка робототехнических систем и искусственный интеллект
ИЛБО-50-20,Аналитика данных в бизнесе и финансах
ИЛБО-13-21,Разработка робототехнических систем и искусственный интеллект
ИВБО-62-20,Анализ больших данных и облачные вычисления
ИЛБО-96-21,Веб-разработка и интерфейсный дизайн
ИЛБО-09-22,Анализ больших данных и облачные вычисления
ИЛБО-70-20,Электронная коммерция и цифровой маркетинг
ИКБО-57-22,Разработка приложений для здравоохранения и медицины
ИМБО-28-22,Графический дизайн и мультимедиа
ИНБО-07-22,Разработка игр и виртуальной реальности
ИНБО-35-22,Программирование и разработка на языке Java
ИЭБО-69-22,Аналитика данных в бизнесе и финансах
ИЭБО-53-20,Автоматизация тестирования и DevOps
ИНБО-63-22,Разработка игр и виртуальной реальности
ИЛБО-32-22,Программирование и разработка на языке Java
ИКБО-96-21,Графический дизайн и мультимедиа
ИМБО-46-20,Сетевые технологии и администрирование сетей
ИКБО-53-22,Безопасность информационных систем и киберзащита
ИКБО-65-23,Цифровая трансформация и стратегии бизнеса
ИВБО-98-21,Веб-разработка и интерфейсный дизайн
ИВБО-71-22,Цифровая трансформация и стратегии бизнеса
ИКБО-17-23,Программирование и разработка на языке Java
ИМБО-36-21,Графический дизайн и мультимедиа
ИЭБО-90-23,Базы данных и архитектура информационных систем
ИКБО-05-20,Сетевые технологии и администрирование сетей
ИВБО-17-22,Интернет вещей (IoT) и умные технологии
ИКБО-30-22,Интернет вещей (IoT) и умные технологии
ИВБО-71-23,Сетевые технологии и администрирование сетей
ИМБО-05-20,Аналитика данных в бизнесе и финансах
ИНБО-68-21,Автоматизация тестирования и DevOps
ИМБО-43-23,Сетевые технологии и администрирование сетей
ИМБО-30-21,Разработка игр и виртуальной реальности
ИЭБО-31-22,Безопасность информационных систем и киберзащита
ИВБО-99-21,Аналитика данных в бизнесе и финансах
ИЛБО-73-21,Сетевые технологии и администрирование сетей
ИЛБО-19-21,Программирование и разработка на языке Java
ИЛБО-98-21,Разработка мобильных приложений и IoT
ИЭБО-06-21,Разработка игр и виртуальной реальности
ИКБО-01-21,Киберфизические системы и автоматизация процессов
ИКБО-81-20,Цифровая трансформация и стратегии бизнеса
ИНБО-62-22,Аналитика данных в бизнесе и финансах
ИМБО-93-22,Киберфизические системы и автоматизация процессов
ИЭБО-40-23,Киберфизические системы и автоматизация процессов
ИЛБО-17-23,Анализ больших данных и облачные вычисления
ИЭБО-67-21,Электронная коммерция и цифровой маркетинг
ИВБО-93-22,Электронная коммерция и цифровой маркетинг
ИВБО-42-20,Сетевые технологии и администрирование сетей
ИКБО-94-20,Киберфизические системы и автоматизация процессов
ИНБО-92-22,Разработка игр и виртуальной реальности
ИМБО-79-22,Базы данных и архитектура информационных систем
ИМБО-17-21,Веб-разработка и интерфейсный дизайн
ИВБО-99-22,Аналитика данных в бизнесе и финансах
ИКБО-52-22,Анализ данных и машинное обучение
ИЛБО-60-21,Киберфизические системы и автоматизация процессов
ИЭБО-93-21,Киберфизические системы и автоматизация процессов
ИЭБО-11-20,Разработка робототехнических систем и искусственный интеллект
ИВБО-56-21,Веб-разработка и интерфейсный дизайн
ИЛБО-03-21,Программирование и разработка на языке Java
ИВБО-76-22,Киберфизические системы и автоматизация процессов
ИКБО-85-20,Сетевые технологии и администрирование сетей
ИНБО-63-21,Киберфизические системы и автоматизация процессов
ИКБО-27-22,Безопасность информационных систем и киберзащита
ИВБО-81-23,Сетевые технологии и администрирование сетей
ИНБО-99-21,Разработка игр и виртуальной реальности
ИЭБО-03-23,Анализ данных и машинное обучение
ИКБО-41-21,Программирование и разработка на языке Java
ИНБО-57-21,Информационные технологии и разработка программного обеспечения
ИКБО-75-21,Автоматизация тестирования и DevOps
ИМБО-02-20,Автоматизация тестирования и DevOps
ИВБО-41-20,Разработка робототехнических систем и искусственный интеллект
ИНБО-40-22,Информационные технологии и разработка программного обеспечения
ИМБО-10-21,Графический дизайн и мультимедиа
ИКБО-04-23,Аналитика данных в бизнесе и финансах
ИЭБО-99-22,Киберфизические системы и автоматизация процессов
ИКБО-84-21,Киберфизические системы и автоматизация процессов
ИЭБО-92-22,Безопасность информационных систем и киберзащита
ИКБО-80-20,Разработка робототехнических систем и искусственный интеллект
ИНБО-10-21,Программирование и разработка на языке Java
ИЛБО-44-23,Разработка приложений для здравоохранения и медицины
ИВБО-79-22,Анализ данных и машинное обучение
ИВБО-50-23,Электронная коммерция и цифровой маркетинг
ИМБО-95-21,Сетевые технологии и администрирование сетей
ИНБО-80-20,Графический дизайн и мультимедиа
ИКБО-19-22,Разработка робототехнических систем и искусственный интеллект
ИМБО-89-23,Цифровая трансформация и стратегии бизнеса
ИЭБО-88-23,Графический дизайн и мультимедиа
ИВБО-42-21,Информационные технологии и разработка программного обеспечения
ИЛБО-69-23,Киберфизические системы и автоматизация процессов
ИВБО-73-20,Интернет вещей (IoT) и умные технологии
ИНБО-13-23,Разработка робототехнических систем и искусственный интеллект
ИВБО-05-23,Аналитика данных в бизнесе и финансах
ИВБО-47-22,Блокчейн и криптовалюты: технологии и применения
ИМБО-83-20,Сетевые технологии и администрирование сетей
ИКБО-92-21,Веб-разработка и интерфейсный дизайн
ИЭБО-76-22,Базы данных и архитектура информационных систем
ИМБО-44-22,Программирование и разработка на языке Java
ИНБО-88-21,Графический дизайн и мультимедиа
ИВБО-12-23,Безопасность информационных систем и киберзащита
ИЭБО-47-23,Разработка приложений для здравоохранения и медицины
ИВБО-31-23,Анализ данных и машинное обучение
ИМБО-10-20,Разработка робототехнических систем и искусственный интеллект
ИНБО-56-20,Безопасность информационных систем и киберзащита
ИЛБО-14-21,Цифровая трансформация и стратегии бизнеса
ИНБО-11-22,Разработка приложений для здравоохранения и медицины
ИЛБО-90-22,Анализ больших данных и облачные вычисления
ИЭБО-75-23,Графический дизайн и мультимедиа
ИЛБО-54-22,Автоматизация тестирования и DevOps
ИМБО-01-20,Информационные технологии и разработка программного обеспечения
ИМБО-32-20,Программирование и разработка на языке Java
ИМБО-46-21,Программирование и разработка на языке Java
ИМБО-07-22,Веб-разработка и интерфейсный дизайн
ИКБО-79-22,Анализ данных и машинное обучение
ИКБО-76-22,Безопасность информационных систем и киберзащита
ИНБО-89-23,Программирование и разработка на языке Java
ИМБО-20-21,Интернет вещей (IoT) и умные технологии
ИМБО-39-21,Анализ данных и машинное обучение
ИЭБО-67-23,Информационные технологии и разработка программного обеспечения
ИЭБО-28-22,Разработка игр и виртуальной реальности
ИЛБО-24-21,Киберфизические системы и автоматизация процессов
ИЭБО-20-21,Информационные технологии и разработка программного обеспечения
ИМБО-13-22,Цифровая трансформация и стратегии бизнеса
ИЭБО-18-20,Интернет вещей (IoT) и умные технологии
ИВБО-37-21,Графический дизайн и мультимедиа
ИЭБО-14-23,Информационные технологии и разработка программного обеспечения
ИКБО-56-21,Информационные технологии и разработка программного обеспечения
ИНБО-60-21,Базы данных и архитектура информационных систем
ИМБО-57-22,Базы данных и архитектура информационных систем
ИНБО-83-21,Автоматизация тестирования и DevOps
ИНБО-69-22,Киберфизические системы и автоматизация процессов
ИВБО-24-21,Разработка мобильных приложений и IoT
ИВБО-64-21,Аналитика данных в бизнесе и финансах
ИКБО-40-21,Графический дизайн и мультимедиа
ИМБО-89-22,Разработка мобильных приложений и IoT
ИЭБО-71-21,Сетевые технологии и администрирование сетей
ИЭБО-73-20,Графический дизайн и мультимедиа
ИМБО-87-22,Анализ данных и машинное обучение
ИМБО-11-21,Анализ данных и машинное обучение
ИЭБО-10-20,Киберфизические системы и автоматизация процессов
ИКБО-76-20,Разработка мобильных приложений и IoT
ИКБО-09-20,Разработка робототехнических систем и искусственный интеллект
ИЭБО-07-21,Анализ больших данных и облачные вычисления
ИЛБО-67-21,Электронная коммерция и цифровой маркетинг
ИНБО-62-21,Графический дизайн и мультимедиа
ИМБО-86-20,Цифровая трансформация и стратегии бизнеса
ИКБО-68-21,Киберфизические системы и автоматизация процессов
ИНБО-43-20,Аналитика данных в бизнесе и финансах
ИНБО-67-23,Киберфизические системы и автоматизация процессов
ИЛБО-59-22,Разработка мобильных приложений и IoT
ИМБО-82-23,Информационные технологии и разработка программного обеспечения
ИМБО-17-23,Анализ данных и машинное обучение
ИМБО-37-20,Веб-разработка и интерфейсный дизайн
ИНБО-46-20,Информационные технологии и разработка программного обеспечения
ИКБО-30-23,Разработка мобильных приложений и IoT
ИНБО-02-23,Разработка приложений для здравоохранения и медицины
ИВБО-04-21,Разработка приложений для здравоохранения и медицины
ИКБО-62-21,Электронная коммерция и цифровой маркетинг
ИКБО-29-22,Разработка робототехнических систем и искусственный интеллект
ИВБО-11-21,Разработка робототехнических систем и искусственный интеллект
ИЭБО-84-22,Аналитика данных в бизнесе и финансах
ИЛБО-88-20,Веб-разработка и интерфейсный дизайн
ИЭБО-36-23,Графический дизайн и мультимедиа
ИМБО-19-20,Разработка приложений для здравоохранения и медицины
ИЛБО-99-21,Цифровая трансформация и стратегии бизнеса
ИНБО-11-20,Веб-разработка и интерфейсный дизайн
ИМБО-92-20,Киберфизические системы и автоматизация процессов
ИЭБО-09-23,Аналитика данных в бизнесе и финансах
ИЛБО-57-23,Анализ больших данных и облачные вычисления
ИКБО-87-21,Информационные технологии и разработка программного обеспечения
ИЭБО-86-20,Разработка робототехнических систем и искусственный интеллект
ИМБО-41-20,Блокчейн и криптовалюты: технологии и применения
ИЛБО-58-20,Интернет вещей (IoT) и умные технологии
ИКБО-04-21,Разработка игр и виртуальной реальности
ИЭБО-13-21,Информационные технологии и разработка программного обеспечения
ИЛБО-78-21,Разработка робототехнических систем и искусственный интеллект
ИВБО-76-21,Анализ больших данных и облачные вычисления
ИЛБО-72-21,Аналитика данных в бизнесе и финансах
ИНБО-16-20,Анализ больших данных и облачные вычисления
ИНБО-38-22,Аналитика данных в бизнесе и финансах
ИЛБО-51-22,Блокчейн и криптовалюты: технологии и применения
ИВБО-24-22,Программирование и разработка на языке Java
ИМБО-58-22,Сетевые технологии и администрирование сетей
ИЭБО-94-21,Аналитика данных в бизнесе и финансах
ИНБО-97-23,Безопасность информационных систем и киберзащита
ИНБО-69-21,Электронная коммерция и цифровой маркетинг
ИКБО-31-22,Безопасность информационных систем и киберзащита
ИКБО-74-21,Электронная коммерция и цифровой маркетинг
ИВБО-22-20,Анализ больших данных и облачные вычисления
ИЛБО-84-21,Анализ данных и машинное обучение
ИНБО-19-21,Разработка мобильных приложений и IoT
ИЛБО-79-21,Базы данных и архитектура информационных систем
ИНБО-61-21,Разработка игр и виртуальной реальности
ИЭБО-68-22,Разработка мобильных приложений и IoT
ИНБО-38-21,Базы данных и архитектура информационных систем
ИЛБО-65-23,Автоматизация тестирования и DevOps
ИМБО-91-21,Блокчейн и криптовалюты: технологии и применения
ИВБО-39-23,Автоматизация тестирования и DevOps
ИЛБО-08-23,Разработка робототехнических систем и искусственный интеллект
ИВБО-11-22,Разработка приложений для здравоохранения и медицины
ИВБО-49-21,Веб-разработка и интерфейсный дизайн
ИЛБО-97-22,Графический дизайн и мультимедиа
ИНБО-06-23,Блокчейн и криптовалюты: технологии и применения
ИВБО-58-21,Аналитика данных в бизнесе и финансах
ИЛБО-42-21,Сетевые технологии и администрирование сетей
ИЭБО-34-20,Аналитика данных в бизнесе и финансах
ИЭБО-80-23,Сетевые технологии и администрирование сетей
ИЭБО-95-23,Информационные технологии и разработка программного обеспечения
ИЭБО-12-21,Автоматизация тестирования и DevOps
ИЛБО-25-21,Программирование и разработка на языке Java
ИВБО-09-20,Графический дизайн и мультимедиа
ИМБО-45-23,Базы данных и архитектура информационных систем
ИЭБО-71-23,Аналитика данных в бизнесе и финансах
ИМБО-71-20,Блокчейн и криптовалюты: технологии и применения
ИВБО-08-20,Киберфизические системы и автоматизация процессов
ИЛБО-55-20,Блокчейн и криптовалюты: технологии и применения
ИЭБО-96-23,Цифровая трансформация и стратегии бизнеса
ИЭБО-19-20,Электронная коммерция и цифровой маркетинг
ИНБО-32-21,Анализ больших данных и облачные вычисления
ИМБО-96-20,Интернет вещей (IoT) и умные технологии
ИМБО-80-21,Графический дизайн и мультимедиа
ИЛБО-46-22,Анализ данных и машинное обучение
ИНБО-46-22,Сетевые технологии и администрирование сетей
ИМБО-74-22,Разработка робототехнических систем и искусственный интеллект
ИЭБО-97-20,Разработка мобильных приложений и IoT
ИКБО-13-20,Анализ больших данных и облачные вычисления
ИВБО-96-21,Сетевые технологии и администрирование сетей
ИНБО-94-23,Анализ больших данных и облачные вычисления
ИМБО-20-22,Базы данных и архитектура информационных систем
ИНБО-33-22,Блокчейн и криптовалюты: технологии и применения
ИНБО-50-21,Веб-разработка и интерфейсный дизайн
ИЭБО-97-23,Киберфизические системы и автоматизация процессов
ИНБО-02-21,Разработка робототехнических систем и искусственный интеллект
ИМБО-85-23,Программирование и разработка на языке Java
ИВБО-75-22,Сетевые технологии и администрирование сетей
ИВБО-57-23,Интернет вещей (IoT) и умные технологии
ИЛБО-82-21,Разработка робототехнических систем и искусственный интеллект
ИВБО-76-23,Разработка игр и виртуальной реальности
ИНБО-27-23,Базы данных и архитектура информационных систем
ИКБО-76-21,Анализ больших данных и облачные вычисления
ИКБО-43-23,Веб-разработка и интерфейсный дизайн
ИКБО-24-20,Разработка игр и виртуальной реальности
ИЭБО-68-21,Веб-разработка и интерфейсный дизайн
ИНБО-03-21,Веб-разработка и интерфейсный дизайн
ИЛБО-29-23,Анализ данных и машинное обучение
ИНБО-01-20,Киберфизические системы и автоматизация процессов
ИВБО-69-21,Программирование и разработка на языке Java
ИКБО-32-21,Анализ данных и машинное обучение
ИЛБО-81-22,Киберфизические системы и автоматизация процессов
ИНБО-26-23,Графический дизайн и мультимедиа
ИМБО-94-21,Веб-разработка и интерфейсный дизайн
ИМБО-60-23,Программирование и разработка на языке Java
ИЛБО-86-23,Графический дизайн и мультимедиа
ИНБО-80-23,Разработка робототехнических систем и искусственный интеллект
ИЛБО-41-23,Киберфизические системы и автоматизация процессов
ИМБО-73-20,Автоматизация тестирования и DevOps
ИМБО-60-20,Разработка робототехнических систем и искусственный интеллект
ИЭБО-24-22,Веб-разработка и интерфейсный дизайн
ИМБО-58-23,Сетевые технологии и администрирование сетей
ИЭБО-29-22,Разработка приложений для здравоохранения и медицины
ИВБО-82-23,Интернет вещей (IoT) и умные технологии
ИЭБО-06-23,Автоматизация тестирования и DevOps
ИНБО-92-21,Цифровая трансформация и стратегии бизнеса
ИМБО-51-22,Аналитика данных в бизнесе и финансах
ИКБО-92-20,Киберфизические системы и автоматизация процессов
