Личный номер,ФИО студента,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
21И1460,,1,1,1,2,1,2,2,2,3,2,1,2,2,3,3,3
21И1077,,+,,,,,,,,,,,,,,,
21И1483,,+,,,,,,,,,,,,,,,
21И1879,,-,,,,,,,,,,,,,,,
21И1499,,+,,,,,,,,,,,,,,,
21И1745,,+,,,,,,,,,,,,,,,
21И0678,,+,,,,,,,,,,,,,,,
21И0234,,+,,,,,,,,,,,,,,,
21И0794,,+,,,,,,,,,,,,,,,
21И1548,,+,,,,,,,,,,,,,,,
21И1559,,-,,,,,,,,,,,,,,,
21И1056,,+,,,,,,,,,,,,,,,
21И0245,,+,,,,,,,,,,,,,,,
21И1731,,+,,,,,,,,,,,,,,,
21И1921,,+,,,,,,,,,,,,,,,
21И1775,,+,,,,,,,,,,,,,,,
21И0892,,-,,,,,,,,,,,,,,,
21И1067,,-,,,,,,,,,,,,,,,
21И1068,,+,,,,,,,,,,,,,,,
21И1782,,+,,,,,,,,,,,,,,,
21И0997,,+,,,,,,,,,,,,,,,
21И0573,,-,,,,,,,,,,,,,,,
21И0609,,+,,,,,,,,,,,,,,,
21И1950,,+,,,,,,,,,,,,,,,
21И0613,,+,,,,,,,,,,,,,,,
21И0624,,+,,,,,,,,,,,,,,,
21И1961,,-,,,,,,,,,,,,,,,
21И0645,,+,,,,,,,,,,,,,,,
21И0965,,+,,,,,,,,,,,,,,,